id,name,description,permission_code,status,created_by,modified_by,created_at,modified_at
AUTOPN001,VIEW,View Permission,view,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTOPN002,ADD,Add Permission,add,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTOPN003,EDIT,Edit Permission,edit,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTOPN004,DELETE,Delete Permission,delete,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTOPN005,APPROVE,Approve Permission,approve,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTOPN006,REJECT,Reject Permission,reject,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP



